store_id,continuous_week_number,storetype_id,city_code,sales,revenue,stock_inicial,week_number,store_size,Probin1_very_low,Probin1_low,Probin1_moderate,Probin1_high,Probin1_very_high,Probin2_very_low,Probin2_high,Probin2_very_high,promo_discount_16,promo_discount_20,promo_discount_35,promo_discount_40,promo_discount_50,Primavera,Verao,Outono,Feriados
S0002,1.0,ST04,ADANA,750.232,1813.24,2845.465,1.0,39.0,44.0,43.0,23.0,29.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S0002,2.0,ST04,ADANA,871.53,1896.91,3293.145,2.0,39.0,28.0,49.0,33.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0002,3.0,ST04,ADANA,1069.555,7404.16,3256.27,3.0,39.0,49.0,39.0,29.0,29.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0002,4.0,ST04,ADANA,910.255,2078.39,3583.555,4.0,39.0,56.0,25.0,30.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0002,5.0,ST04,ADANA,732.754,1745.47,3246.64,5.0,39.0,49.0,20.0,29.0,23.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0002,6.0,ST04,ADANA,828.198,2235.39,3501.625,6.0,39.0,49.0,17.0,34.0,19.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0002,7.0,ST04,ADANA,1086.373,2356.01,3328.33,7.0,39.0,69.0,25.0,23.0,20.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0002,8.0,ST04,ADANA,754.264,1973.8,3493.622,8.0,39.0,91.0,22.0,23.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0002,9.0,ST04,ADANA,858.396,2573.37,3332.794,9.0,39.0,80.0,47.0,28.0,14.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0002,10.0,ST04,ADANA,1239.566,2594.16,3297.008,10.0,39.0,75.0,66.0,35.0,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
