Tipo de Coeficiente,Coeficiente,Erro Padrão,AIC,BIC,store_id,Modelo,store_type,store_size,city_code
ma.L1,-0.5181988009221117,0.05504851266983495,2291.6391992400663,2303.200595752953,S0002," ARIMA(0,1,2)(1,0,0)[52]          ",ST04,39.0,ADANA
ma.L2,-0.4090566757537537,0.0827067005400172,2291.6391992400663,2303.200595752953,S0002," ARIMA(0,1,2)(1,0,0)[52]          ",ST04,39.0,ADANA
ar.S.L52,0.25305497666164817,0.05390748687840522,2291.6391992400663,2303.200595752953,S0002," ARIMA(0,1,2)(1,0,0)[52]          ",ST04,39.0,ADANA
sigma2,1616163.2119692285,117543.04210237434,2291.6391992400663,2303.200595752953,S0002," ARIMA(0,1,2)(1,0,0)[52]          ",ST04,39.0,ADANA
ar.L1,0.17363248406683712,0.11740421094240124,1879.7294716735933,1894.181217314702,S0003," ARIMA(1,1,1)(2,0,0)[52]          ",ST03,17.0,ISTANBUL
ma.L1,-0.9189663981279763,0.06916449115214182,1879.7294716735933,1894.181217314702,S0003," ARIMA(1,1,1)(2,0,0)[52]          ",ST03,17.0,ISTANBUL
ar.S.L52,0.06575585636270417,0.04182599998637815,1879.7294716735933,1894.181217314702,S0003," ARIMA(1,1,1)(2,0,0)[52]          ",ST03,17.0,ISTANBUL
ar.S.L104,0.7660879730149599,0.08868116551751147,1879.7294716735933,1894.181217314702,S0003," ARIMA(1,1,1)(2,0,0)[52]          ",ST03,17.0,ISTANBUL
sigma2,35868.9131227062,11616.834444935319,1879.7294716735933,1894.181217314702,S0003," ARIMA(1,1,1)(2,0,0)[52]          ",ST03,17.0,ISTANBUL
ma.L1,-0.8153475904936591,0.05879595057729919,1600.1617704778728,1605.9424687343162,S0077," ARIMA(0,1,1)(0,0,0)[52]          ",ST03,12.0,ISTANBUL
sigma2,9453.702512758204,963.4137309452668,1600.1617704778728,1605.9424687343162,S0077," ARIMA(0,1,1)(0,0,0)[52]          ",ST03,12.0,ISTANBUL
intercept,7.091653839459428,3.2382621216566503,1827.1254504249728,1841.5771960660816,S0080," ARIMA(0,1,2)(0,0,1)[52] intercept",ST03,14.0,ISTANBUL
ma.L1,-0.6187894291313247,0.08532183119268444,1827.1254504249728,1841.5771960660816,S0080," ARIMA(0,1,2)(0,0,1)[52] intercept",ST03,14.0,ISTANBUL
ma.L2,-0.25637162527349167,0.07665911587179845,1827.1254504249728,1841.5771960660816,S0080," ARIMA(0,1,2)(0,0,1)[52] intercept",ST03,14.0,ISTANBUL
ma.S.L52,0.3281013644534602,0.13182156386667823,1827.1254504249728,1841.5771960660816,S0080," ARIMA(0,1,2)(0,0,1)[52] intercept",ST03,14.0,ISTANBUL
sigma2,47486.73111851611,5522.705246659353,1827.1254504249728,1841.5771960660816,S0080," ARIMA(0,1,2)(0,0,1)[52] intercept",ST03,14.0,ISTANBUL
intercept,1061.7436044361134,260.7522878444591,2191.0647713512453,2202.656130551049,S0083," ARIMA(1,0,1)(0,0,0)[52] intercept",ST04,23.0,MERSIN
ar.L1,-0.33896723714536686,0.15925714168293573,2191.0647713512453,2202.656130551049,S0083," ARIMA(1,0,1)(0,0,0)[52] intercept",ST04,23.0,MERSIN
ma.L1,0.6786587269859856,0.16147212589335994,2191.0647713512453,2202.656130551049,S0083," ARIMA(1,0,1)(0,0,0)[52] intercept",ST04,23.0,MERSIN
sigma2,695258.4105198063,56529.63659128178,2191.0647713512453,2202.656130551049,S0083," ARIMA(1,0,1)(0,0,0)[52] intercept",ST04,23.0,MERSIN
ar.L1,-0.4070645793935656,0.23362732576615822,2534.5951454716533,2549.046891112762,S0085," ARIMA(1,1,2)(0,0,1)[52]          ",ST01,60.0,ISTANBUL
ma.L1,-0.1778001678293098,0.1917247964573221,2534.5951454716533,2549.046891112762,S0085," ARIMA(1,1,2)(0,0,1)[52]          ",ST01,60.0,ISTANBUL
ma.L2,-0.6503054238673306,0.14391262984777164,2534.5951454716533,2549.046891112762,S0085," ARIMA(1,1,2)(0,0,1)[52]          ",ST01,60.0,ISTANBUL
ma.S.L52,0.3342185622451705,0.1213783236543441,2534.5951454716533,2549.046891112762,S0085," ARIMA(1,1,2)(0,0,1)[52]          ",ST01,60.0,ISTANBUL
sigma2,11022929.04734676,1229716.9672515613,2534.5951454716533,2549.046891112762,S0085," ARIMA(1,1,2)(0,0,1)[52]          ",ST01,60.0,ISTANBUL
ma.L1,-0.5919821596341492,0.09061062417190176,1513.5780131866377,1522.249060571303,S0086," ARIMA(0,1,2)(0,0,0)[52]          ",ST03,12.0,IZMIR
ma.L2,-0.12896465938929313,0.08999710667068382,1513.5780131866377,1522.249060571303,S0086," ARIMA(0,1,2)(0,0,0)[52]          ",ST03,12.0,IZMIR
