Tipo de Coeficiente;Coeficiente;Erro Padrão;AIC;BIC;store_id;Modelo
intercept;576,4571385;79,81086428;1570,042757;1578,277553;S0002; ARIMA(1,0,0)(0,0,0)[0] intercept
ar.L1;0,207345464;0,083761974;1570,042757;1578,277553;S0002; ARIMA(1,0,0)(0,0,0)[0] intercept
sigma2;47434,99274;3181,113301;1570,042757;1578,277553;S0002; ARIMA(1,0,0)(0,0,0)[0] intercept
intercept;252,4649977;8,064253769;1173,287115;1184,266844;S0003; ARIMA(0,0,2)(0,0,0)[0] intercept
ma.L1;0,556985858;0,102967909;1173,287115;1184,266844;S0003; ARIMA(0,0,2)(0,0,0)[0] intercept
ma.L2;0,29537597;0,130935631;1173,287115;1184,266844;S0003; ARIMA(0,0,2)(0,0,0)[0] intercept
sigma2;1468,146423;115,1575385;1173,287115;1184,266844;S0003; ARIMA(0,0,2)(0,0,0)[0] intercept
intercept;223,1429014;30,94561164;894,284092;898,8094518;S0005; ARIMA(0,0,0)(0,0,0)[0] intercept
sigma2;16339,41387;1308,98516;894,284092;898,8094518;S0005; ARIMA(0,0,0)(0,0,0)[0] intercept
intercept;160,9090909;5,738603166;211,0874996;213,2695845;S0007; ARIMA(0,0,0)(0,0,0)[0] intercept
sigma2;717,0826446;203,9008971;211,0874996;213,2695845;S0007; ARIMA(0,0,0)(0,0,0)[0] intercept
intercept;58,59619929;56,80052335;1313,863593;1327,588254;S0010; ARIMA(1,0,2)(0,0,0)[0] intercept
ar.L1;0,888417243;0,108119501;1313,863593;1327,588254;S0010; ARIMA(1,0,2)(0,0,0)[0] intercept
ma.L1;-0,474618759;0,142869902;1313,863593;1327,588254;S0010; ARIMA(1,0,2)(0,0,0)[0] intercept
ma.L2;-0,118040372;0,13037954;1313,863593;1327,588254;S0010; ARIMA(1,0,2)(0,0,0)[0] intercept
sigma2;4903,452436;289,6204011;1313,863593;1327,588254;S0010; ARIMA(1,0,2)(0,0,0)[0] intercept
intercept;147,3635227;29,12049081;1248,288472;1256,523268;S0012; ARIMA(1,0,0)(0,0,0)[0] intercept
ar.L1;0,54503612;0,088963829;1248,288472;1256,523268;S0012; ARIMA(1,0,0)(0,0,0)[0] intercept
sigma2;2888,317934;347,492812;1248,288472;1256,523268;S0012; ARIMA(1,0,0)(0,0,0)[0] intercept
intercept;122,4949432;21,44479806;1161,168369;1169,403166;S0014; ARIMA(1,0,0)(0,0,0)[0] intercept
ar.L1;0,514806472;0,082091473;1161,168369;1169,403166;S0014; ARIMA(1,0,0)(0,0,0)[0] intercept
sigma2;1336,637132;183,083676;1161,168369;1169,403166;S0014; ARIMA(1,0,0)(0,0,0)[0] intercept
intercept;119,21603;44,6792172;1305,06905;1316,048779;S0015; ARIMA(2,0,0)(0,0,0)[0] intercept
ar.L1;0,55106366;0,097165387;1305,06905;1316,048779;S0015; ARIMA(2,0,0)(0,0,0)[0] intercept
ar.L2;0,227288686;0,100826787;1305,06905;1316,048779;S0015; ARIMA(2,0,0)(0,0,0)[0] intercept
sigma2;4600,624433;370,3508349;1305,06905;1316,048779;S0015; ARIMA(2,0,0)(0,0,0)[0] intercept
intercept;24,94091162;17,19190643;1148,216392;1164,685985;S0016; ARIMA(1,0,3)(0,0,0)[0] intercept
ar.L1;0,88133579;0,082697432;1148,216392;1164,685985;S0016; ARIMA(1,0,3)(0,0,0)[0] intercept
