Tipo de Coeficiente;Coeficiente;Erro Padrão;AIC;BIC;store_id;Modelo;store_type;store_size;city_code
ma.L1;-0,518181437;0,054654928;2307,819308;2319,410667;S0002; ARIMA(0,1,2)(1,0,0)[52]          ;ST04;39;ADANA
ma.L2;-0,408615004;0,082322327;2307,819308;2319,410667;S0002; ARIMA(0,1,2)(1,0,0)[52]          ;ST04;39;ADANA
ar.S.L52;0,253706986;0,053398272;2307,819308;2319,410667;S0002; ARIMA(0,1,2)(1,0,0)[52]          ;ST04;39;ADANA
sigma2;1604525,093;115746,3861;2307,819308;2319,410667;S0002; ARIMA(0,1,2)(1,0,0)[52]          ;ST04;39;ADANA
ar.L1;0,169950753;0,118026811;1893,696051;1908,18525;S0003; ARIMA(1,1,1)(2,0,0)[52]          ;ST03;17;ISTANBUL
ma.L1;-0,923209149;0,063028828;1893,696051;1908,18525;S0003; ARIMA(1,1,1)(2,0,0)[52]          ;ST03;17;ISTANBUL
ar.S.L52;0,06556179;0,041169131;1893,696051;1908,18525;S0003; ARIMA(1,1,1)(2,0,0)[52]          ;ST03;17;ISTANBUL
ar.S.L104;0,765565193;0,089791271;1893,696051;1908,18525;S0003; ARIMA(1,1,1)(2,0,0)[52]          ;ST03;17;ISTANBUL
sigma2;36092,23673;11804,74574;1893,696051;1908,18525;S0003; ARIMA(1,1,1)(2,0,0)[52]          ;ST03;17;ISTANBUL
intercept;1107,233388;194,1469623;1301,122575;1308,268655;S0005; ARIMA(0,0,1)(0,0,0)[52] intercept;ST04;19;DENIZLI
ma.L1;0,233129033;0,104766073;1301,122575;1308,268655;S0005; ARIMA(0,0,1)(0,0,0)[52] intercept;ST04;19;DENIZLI
sigma2;628113,4235;52001,58593;1301,122575;1308,268655;S0005; ARIMA(0,0,1)(0,0,0)[52] intercept;ST04;19;DENIZLI
intercept;516,3793209;653,3992839;235,9338751;239,711631;S0007; ARIMA(1,0,1)(0,0,0)[0] intercept;ST03;16;ISTANBUL
ar.L1;0,31551861;0,86926044;235,9338751;239,711631;S0007; ARIMA(1,0,1)(0,0,0)[0] intercept;ST03;16;ISTANBUL
ma.L1;-0,867390315;0,852929622;235,9338751;239,711631;S0007; ARIMA(1,0,1)(0,0,0)[0] intercept;ST03;16;ISTANBUL
sigma2;11164,01482;7133,505115;235,9338751;239,711631;S0007; ARIMA(1,0,1)(0,0,0)[0] intercept;ST03;16;ISTANBUL
ma.L1;-0,677515554;0,078421209;2036,532259;2048,123618;S0010; ARIMA(0,1,2)(0,0,1)[52]          ;ST04;17;ISTANBUL
ma.L2;-0,131967087;0,072228708;2036,532259;2048,123618;S0010; ARIMA(0,1,2)(0,0,1)[52]          ;ST04;17;ISTANBUL
ma.S.L52;0,178888413;0,101332163;2036,532259;2048,123618;S0010; ARIMA(0,1,2)(0,0,1)[52]          ;ST04;17;ISTANBUL
sigma2;213728,0666;16685,05906;2036,532259;2048,123618;S0010; ARIMA(0,1,2)(0,0,1)[52]          ;ST04;17;ISTANBUL
ma.L1;-0,846131758;0,049571706;1954,483909;1960,279589;S0012; ARIMA(0,1,1)(0,0,0)[52]          ;ST04;28;ANTALYA
sigma2;121145,4901;9487,558026;1954,483909;1960,279589;S0012; ARIMA(0,1,1)(0,0,0)[52]          ;ST04;28;ANTALYA
ma.L1;-0,708904301;0,05986564;1791,241844;1799,935363;S0014; ARIMA(0,1,1)(1,0,0)[52]          ;ST03;14;ISTANBUL
ar.S.L52;0,377267491;0,098471557;1791,241844;1799,935363;S0014; ARIMA(0,1,1)(1,0,0)[52]          ;ST03;14;ISTANBUL
sigma2;33486,20462;3748,231204;1791,241844;1799,935363;S0014; ARIMA(0,1,1)(1,0,0)[52]          ;ST03;14;ISTANBUL
ma.L1;-0,619399197;0,062453899;2054,766676;2069,255875;S0015; ARIMA(0,1,2)(2,0,0)[52]          ;ST04;19;ISTANBUL
