Tipo de Coeficiente,Coeficiente,p_value,inter_conf_inf,inter_conf_sup,AIC,BIC,store_id,Modelo,store_type,store_size,city_code
stock_inicial,0.5949262952742368,0.009312058701299133,0.1465171695655036,1.04333542098297,2314.8291276899463,2375.6837634889152,S0002," ARIMA(0,0,1)(1,0,0)[52]          ",ST04,39.0,ADANA
Probin1_very_low,1.3155129410384774,0.87369923946589,-14.904506760100872,17.535532642177827,2314.8291276899463,2375.6837634889152,S0002," ARIMA(0,0,1)(1,0,0)[52]          ",ST04,39.0,ADANA
Probin1_low,9.328643942901468,0.390547456792008,-11.965642586502717,30.622930472305654,2314.8291276899463,2375.6837634889152,S0002," ARIMA(0,0,1)(1,0,0)[52]          ",ST04,39.0,ADANA
Probin1_moderate,-8.53533609940104,0.3287129256760988,-25.663201758091695,8.592529559289616,2314.8291276899463,2375.6837634889152,S0002," ARIMA(0,0,1)(1,0,0)[52]          ",ST04,39.0,ADANA
Probin1_high,22.897297288499047,0.05777098401601031,-0.7546095641062038,46.5492041411043,2314.8291276899463,2375.6837634889152,S0002," ARIMA(0,0,1)(1,0,0)[52]          ",ST04,39.0,ADANA
Probin1_very_high,9.347821393434966,0.41977121714081234,-13.360383110529472,32.05602589739941,2314.8291276899463,2375.6837634889152,S0002," ARIMA(0,0,1)(1,0,0)[52]          ",ST04,39.0,ADANA
Probin2_very_low,5.698957838176127e-13,1.0,-21319.666418834382,21319.666418834382,2314.8291276899463,2375.6837634889152,S0002," ARIMA(0,0,1)(1,0,0)[52]          ",ST04,39.0,ADANA
Probin2_high,6.231582341944793e-14,1.0,-21319.66645724284,21319.66645724284,2314.8291276899463,2375.6837634889152,S0002," ARIMA(0,0,1)(1,0,0)[52]          ",ST04,39.0,ADANA
Probin2_very_high,1.1072754777702826e-13,1.0,-21319.666457764597,21319.666457764597,2314.8291276899463,2375.6837634889152,S0002," ARIMA(0,0,1)(1,0,0)[52]          ",ST04,39.0,ADANA
promo_discount_16,-1.4300997730020717e-14,1.0,-21319.66645779963,21319.66645779963,2314.8291276899463,2375.6837634889152,S0002," ARIMA(0,0,1)(1,0,0)[52]          ",ST04,39.0,ADANA
promo_discount_20,0.0,1.0,-21319.66645787244,21319.66645787244,2314.8291276899463,2375.6837634889152,S0002," ARIMA(0,0,1)(1,0,0)[52]          ",ST04,39.0,ADANA
promo_discount_35,0.0,1.0,-21319.666457870808,21319.666457870808,2314.8291276899463,2375.6837634889152,S0002," ARIMA(0,0,1)(1,0,0)[52]          ",ST04,39.0,ADANA
promo_discount_40,0.0,1.0,-21319.666457843025,21319.666457843025,2314.8291276899463,2375.6837634889152,S0002," ARIMA(0,0,1)(1,0,0)[52]          ",ST04,39.0,ADANA
promo_discount_50,0.0,1.0,-21319.66645784303,21319.66645784303,2314.8291276899463,2375.6837634889152,S0002," ARIMA(0,0,1)(1,0,0)[52]          ",ST04,39.0,ADANA
Primavera,138.44464362526492,0.8190109912510197,-1047.4212154034894,1324.3105026540193,2314.8291276899463,2375.6837634889152,S0002," ARIMA(0,0,1)(1,0,0)[52]          ",ST04,39.0,ADANA
Verao,-475.602546534954,0.5509070071599583,-2038.5828349612152,1087.3777418913073,2314.8291276899463,2375.6837634889152,S0002," ARIMA(0,0,1)(1,0,0)[52]          ",ST04,39.0,ADANA
Outono,-564.0745069318451,0.6030145368608639,-2689.8747937027315,1561.7257798390415,2314.8291276899463,2375.6837634889152,S0002," ARIMA(0,0,1)(1,0,0)[52]          ",ST04,39.0,ADANA
Feriados,-252.85812259358056,0.5396936796782903,-1060.9650652521689,555.2488200650077,2314.8291276899463,2375.6837634889152,S0002," ARIMA(0,0,1)(1,0,0)[52]          ",ST04,39.0,ADANA
ma.L1,0.36458120550751455,1.5184410869526689e-05,0.19940166865197514,0.5297607423630539,2314.8291276899463,2375.6837634889152,S0002," ARIMA(0,0,1)(1,0,0)[52]          ",ST04,39.0,ADANA
ar.S.L52,0.25923326630851473,0.0007038264558941947,0.10927009228503007,0.4091964403319994,2314.8291276899463,2375.6837634889152,S0002," ARIMA(0,0,1)(1,0,0)[52]          ",ST04,39.0,ADANA
sigma2,1270865.0163576785,9.072631946186406e-30,1051065.2943799472,1490664.7383354097,2314.8291276899463,2375.6837634889152,S0002," ARIMA(0,0,1)(1,0,0)[52]          ",ST04,39.0,ADANA
intercept,8.084698757123192,0.7528117543252837,-42.229708777536835,58.39910629178322,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
stock_inicial,0.1296993060978658,0.8407488810588266,-1.1354119465939916,1.394810558789723,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
Probin1_very_low,2.2258123727254664,0.6376662141718292,-7.037123043915759,11.488747789366691,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
Probin1_low,2.9478285000470144,0.7352137159692433,-14.135748695770745,20.031405695864773,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
Probin1_moderate,-5.430674639284521,0.6781498303952391,-31.079360059981703,20.21801078141266,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
Probin1_high,-0.6455036837191686,0.9589249519830568,-25.21050746352171,23.91950009608337,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
Probin1_very_high,3.529147578688598,0.8552966945444405,-34.40039837751056,41.458693534887765,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
Probin2_very_low,2.2475785889234786e-13,,,,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
Probin2_high,-1.0056146798168703e-14,,,,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
Probin2_very_high,-1.0163381798767777e-14,,,,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
promo_discount_16,-4.444807565552378e-15,,,,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
promo_discount_20,0.0,1.0,-1.8014872939762581e-09,1.8014872939762581e-09,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
promo_discount_35,0.0,,,,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
promo_discount_40,0.0,,,,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
promo_discount_50,0.0,1.0,-7.233978558011874e-10,7.233978558011874e-10,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
Primavera,-17.13562760683767,0.9450256164482304,-504.1970668975918,469.9258116839165,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
Verao,-140.29834203398508,0.5554085563622613,-606.6224962899693,326.0258122219991,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
Outono,-131.041805770037,0.529903720877618,-539.9186602279478,277.8350486878738,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
Feriados,-85.97795879458751,0.605082447452606,-411.856665221764,239.900747632589,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
ar.L1,0.9890447590180613,5.483977244465821e-167,0.9186622038812976,1.0594273141548252,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
ma.L1,-0.8978475011821981,3.792146138006933e-13,-1.1401443600530101,-0.655550642311386,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
ma.S.L52,0.16738454473335515,0.4999790172530665,-0.318985517220868,0.6537546066875782,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
ma.S.L104,0.3098167876421172,0.505333903394203,-0.6017742689124452,1.2214078441966796,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
sigma2,84251.21947693657,0.00028894216316320467,38698.510516997,129803.92843687616,1938.0642834055138,2007.6124386043357,S0003," ARIMA(1,0,1)(0,0,2)[52] intercept",ST03,17.0,ISTANBUL
intercept,-20.4691790626987,0.9720605330706998,-1165.9337964241176,1124.9954382987203,1273.6691757532658,1325.2328950340468,S0005," ARIMA(1,0,0)(1,0,0)[52] intercept",ST04,19.0,DENIZLI
stock_inicial,0.13693942503144682,0.8397410845662179,-1.1902791376868045,1.4641579877496982,1273.6691757532658,1325.2328950340468,S0005," ARIMA(1,0,0)(1,0,0)[52] intercept",ST04,19.0,DENIZLI
Probin1_very_low,4.086471774281408,0.7984147872097873,-27.273600788013788,35.4465443365766,1273.6691757532658,1325.2328950340468,S0005," ARIMA(1,0,0)(1,0,0)[52] intercept",ST04,19.0,DENIZLI
