Tipo de Coeficiente;Coeficiente;p_value;inter_conf_inf;inter_conf_sup;AIC;BIC;store_id;Modelo
stock_inicial;0,173507965;0,090345127;-0,027291152;0,374307082;1538,100389;1572,784578;S0141; ARIMA(0,1,1)(0,0,0)[52]          
Probin1_very_low;-0,038183597;0,947863805;-1,182684809;1,106317614;1538,100389;1572,784578;S0141; ARIMA(0,1,1)(0,0,0)[52]          
Probin1_low;-0,169696359;0,882105554;-2,412430278;2,073037559;1538,100389;1572,784578;S0141; ARIMA(0,1,1)(0,0,0)[52]          
Probin1_moderate;-0,044292542;0,972845423;-2,594596001;2,506010917;1538,100389;1572,784578;S0141; ARIMA(0,1,1)(0,0,0)[52]          
Probin1_high;-0,880398162;0,54548454;-3,734713963;1,973917638;1538,100389;1572,784578;S0141; ARIMA(0,1,1)(0,0,0)[52]          
Probin1_very_high;4,815931866;0,00513523;1,4429457;8,188918032;1538,100389;1572,784578;S0141; ARIMA(0,1,1)(0,0,0)[52]          
Primavera;-75,87883319;0,001414159;-122,4739581;-29,28370831;1538,100389;1572,784578;S0141; ARIMA(0,1,1)(0,0,0)[52]          
Verao;-114,3745526;2,59E-05;-167,664508;-61,08459717;1538,100389;1572,784578;S0141; ARIMA(0,1,1)(0,0,0)[52]          
Outono;-89,15960721;0,000774345;-141,1404805;-37,1787339;1538,100389;1572,784578;S0141; ARIMA(0,1,1)(0,0,0)[52]          
Feriados;23,90399152;0,0949047;-4,149231988;51,95721503;1538,100389;1572,784578;S0141; ARIMA(0,1,1)(0,0,0)[52]          
ma.L1;-0,822176531;4,08E-42;-0,940677156;-0,703675906;1538,100389;1572,784578;S0141; ARIMA(0,1,1)(0,0,0)[52]          
sigma2;5142,599341;2,49E-10;3549,69273;6735,505952;1538,100389;1572,784578;S0141; ARIMA(0,1,1)(0,0,0)[52]          
stock_inicial;0,131302536;0,541191602;-0,28988104;0,552486112;1595,440524;1630,124714;S0120; ARIMA(0,1,1)(0,0,0)[52]          
Probin1_very_low;-0,019758192;0,977911075;-1,41839605;1,378879666;1595,440524;1630,124714;S0120; ARIMA(0,1,1)(0,0,0)[52]          
Probin1_low;-0,637296815;0,714119067;-4,047008852;2,772415223;1595,440524;1630,124714;S0120; ARIMA(0,1,1)(0,0,0)[52]          
Probin1_moderate;0,871791564;0,668143706;-3,113960279;4,857543407;1595,440524;1630,124714;S0120; ARIMA(0,1,1)(0,0,0)[52]          
Probin1_high;-1,994627337;0,30095414;-5,774052764;1,78479809;1595,440524;1630,124714;S0120; ARIMA(0,1,1)(0,0,0)[52]          
Probin1_very_high;-0,115306515;0,96537412;-5,321313979;5,090700949;1595,440524;1630,124714;S0120; ARIMA(0,1,1)(0,0,0)[52]          
Primavera;62,08429136;0,103121856;-12,57225218;136,7408349;1595,440524;1630,124714;S0120; ARIMA(0,1,1)(0,0,0)[52]          
