Tipo de Coeficiente,store_id,Modelo,store_type,store_size,city_code,SSE,AIC,BIC
na,S0002,media,ST04,39.0,ADANA,203322277.81510258,138.406890495235,138.48633203691483
na,S0073,media,ST04,19.0,ISTANBUL,12586823.817932324,116.1497564348045,116.22919797648434
na,S0080,media,ST03,14.0,ISTANBUL,6136726.443264872,110.4028837096352,110.48232525131505
na,S0083,media,ST04,23.0,MERSIN,5519894.172988997,109.55542163863761,109.63486318031745
na,S0003,media,ST03,17.0,ISTANBUL,25901022.735424634,121.92281177651631,122.00225331819615
na,S0086,media,ST03,12.0,IZMIR,1369678.2214786366,98.40515882963157,98.48460037131142
na,S0088,media,ST04,20.0,GAZIANTEP,17470442.41647311,118.77263571571397,118.85207725739382
na,S0089,media,ST03,18.0,ISTANBUL,1699221.9217308536,100.12991575578923,100.20935729746907
na,S0091,media,ST04,19.0,SAMSUN,58810181.222956836,128.48307205000452,128.56251359168436
na,S0094,media,ST04,45.0,KONYA,140225181.29622352,135.43454867658528,135.51399021826512
na,S0095,media,ST02,44.0,ISTANBUL,4094452.852287237,107.16561688845846,107.2450584301383
na,S0097,media,ST04,45.0,ISTANBUL,739444628.6698456,148.7357473513415,148.81518889302134
na,S0099,media,ST03,14.0,ISTANBUL,3909620.285787258,106.79607417565187,106.87551571733171
na,S0102,media,ST04,27.0,ERZURUM,33134309.1895026,123.89310634595695,123.9725478876368
na,S0104,media,ST04,47.0,ANKARA,502984550.90983695,145.65302777612442,145.73246931780426
na,S0107,media,ST04,19.0,ISTANBUL,13131101.019555273,116.48842045074271,116.56786199242255
na,S0108,media,ST04,35.0,ADAPAZARI,334486239.6063589,142.38931806244673,142.46875960412657
na,S0120,media,ST03,16.0,ISTANBUL,557660.6562281355,91.21651497383476,91.2959565155146
na,S0122,media,ST04,23.0,SANLIURFA,20430374.824298803,120.02473417364222,120.10417571532206
na,S0126,media,ST04,34.0,ISTANBUL,33695259.607478015,124.02740943425643,124.10685097593627
na,S0131,media,ST04,22.0,KAYSERI,40228581.75419095,125.44517398549408,125.52461552717392
na,S0132,media,ST04,31.0,DIYARBAKIR,167396785.93570027,136.85148779399424,136.93092933567408
na,S0141,media,ST03,12.0,ANTALYA,395098.4208006013,88.4595891020031,88.53903064368293
na,S0142,media,ST04,31.0,KONYA,57094468.8466653,128.2462100833614,128.32565162504125
